"Story","Title","Result","Date","Stability","Duration (s)"
"Ingesta de Documentos - Manera Asincrona","Cp001-cp050","SUCCESS","2020-02-24T15:43:52.037-05:00[America/Bogota]","0.0","11.38"
"Ingesta de Documentos - Manera Asincrona","Cp002-cp029","SUCCESS","2020-02-24T15:44:03.419-05:00[America/Bogota]","0.0","2.85"
"Ingesta de Documentos - Manera Asincrona","Cp003-009-010-011-012-013-014-015-016-017-018-019-020-021-022-023-024-025-026-027-028","SUCCESS","2020-02-24T15:44:06.275-05:00[America/Bogota]","0.0","23.25"
"Ingesta de Documentos - Manera Asincrona","Cp022-cp023-cp024-cp025-cp026-cp027-cp028-cp030","SUCCESS","2020-02-24T15:44:29.525-05:00[America/Bogota]","0.0","11.89"
"Ingesta de Documentos - Manera Asincrona","Cp031","SUCCESS","2020-02-24T15:44:41.419-05:00[America/Bogota]","0.0","0.82"
"Ingesta de Documentos - Manera Asincrona","Cp032","SUCCESS","2020-02-24T15:44:42.242-05:00[America/Bogota]","0.0","1.4"
"Ingesta de Documentos - Manera Asincrona","Cp033","SUCCESS","2020-02-24T15:44:43.639-05:00[America/Bogota]","0.0","3.76"
"Ingesta de Documentos - Manera Asincrona","Cp034-cp035-cp036","SUCCESS","2020-02-24T15:44:47.397-05:00[America/Bogota]","0.0","4.67"
"Ingesta de Documentos - Manera Asincrona","Cp046-cp047-cp048-cp049","SUCCESS","2020-02-24T15:44:52.077-05:00[America/Bogota]","0.0","9.42"
"Consulta Puntual","CP043 - CP044","ERROR","2020-02-24T15:45:01.499-05:00[America/Bogota]","0.0","77.94"
"Consulta Puntual","Cp045","SUCCESS","2020-02-24T15:47:38.972-05:00[America/Bogota]","0.0","1.29"
"Consulta por Filtro","CP037 - CP038 - CP040","SUCCESS","2020-02-24T15:47:40.26-05:00[America/Bogota]","0.0","4.36"
"Consulta por Filtro","Cp039","SUCCESS","2020-02-24T15:47:44.62-05:00[America/Bogota]","0.0","1.12"
"Consulta por Filtro","CP041 - CP042","SUCCESS","2020-02-24T15:47:45.753-05:00[America/Bogota]","0.0","1.95"
